# Chunk-averaged data for fix fmobilestc2 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 9 2592
  1 -5 15 3.38335 0.323279 179.835 0.252164 2.65627 -2.03993
  2 5 522 4.51511 10.0049 290.329 0.188167 3.48733 1.59199
  3 15 558 5.31911 11.412 303.344 0.505073 3.75623 1.63448
  4 25 560 5.29681 10.8263 292.539 0.811023 3.85286 0.533898
  5 35 539 4.95843 8.99627 282.225 1.03176 3.69865 1.20784
  6 45 398 4.78884 5.99572 300.917 1.23999 3.70731 1.61416
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobilestc2 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 9 2691
  1 -5 21 4.4811 0.867666 541.39 1.88707 3.5743 2.20121
  2 5 556 3.8235 12.4844 447.702 1.03198 3.08473 0.722761
  3 15 558 4.55844 12.0606 492.271 1.63996 3.35411 -0.0577091
  4 25 560 5.07442 10.73 445.301 1.8874 3.89276 0.361316
  5 35 539 4.69937 8.30775 449.402 1.66622 3.74997 0.0177493
  6 45 457 3.76696 4.49123 429.441 0.799705 3.30432 0.627917
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobilestc2 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 9 2691
  1 -5 21 4.06991 0.867666 340.641 1.49951 3.35149 2.10299
  2 5 556 3.52798 12.4844 333.951 0.688601 2.99087 0.517563
  3 15 558 4.08063 12.0606 337.759 1.05761 3.24514 -0.282921
  4 25 560 4.62388 10.73 338.847 1.25599 3.82898 0.398578
  5 35 539 4.32699 8.30775 341.94 1.08737 3.69656 -0.411239
  6 45 457 3.56378 4.49123 308.672 0.520129 3.21898 0.0207175
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobilestc2 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 9 2691
  1 -5 21 3.79946 0.867666 318.786 1.23434 3.1298 2.16516
  2 5 556 3.38236 12.4844 320.597 0.47771 2.93257 0.260111
  3 15 558 3.84942 12.0606 342.214 0.747054 3.20054 -0.512678
  4 25 560 4.32758 10.73 340.957 0.867392 3.73338 0.348791
  5 35 539 4.09801 8.30775 338.828 0.784263 3.62348 -0.47572
