# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 1832
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 5 0 0.0425715 77.638 0 0 0
  3 2.5 187 0 1.59217 318.871 0 0 0
  4 7.5 179 0 1.52406 288.488 0 0 0
  5 12.5 172 0 1.46446 286.911 0 0 0
  6 17.5 166 0 1.41337 317.824 0 0 0
  7 22.5 169 0 1.43892 302.629 0 0 0
  8 27.5 178 0 1.51555 268.844 0 0 0
  9 32.5 193 0 1.64326 267.088 0 0 0
  10 37.5 194 0 1.65177 291.305 0 0 0
  11 42.5 192 0 1.63475 310.384 0 0 0
  12 47.5 197 0 1.67732 294.539 0 0 0
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 12 1832
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 5 0.656733 0.0425715 508.761 0.551695 0.35386 0.175618
  3 2.5 187 2.31241 1.59217 1010.4 1.01595 1.74459 0.667024
  4 7.5 179 3.07396 1.52406 951.466 1.68646 2.05488 -0.170428
  5 12.5 172 3.5708 1.46446 964.651 2.08277 2.36152 -0.769366
  6 17.5 166 3.69352 1.41337 954.368 2.46972 2.13291 0.230778
  7 22.5 169 3.8561 1.43892 1045.56 2.30597 2.42364 -0.0687087
  8 27.5 178 3.59026 1.51555 869.627 2.08539 2.36579 -0.0736622
  9 32.5 193 3.81722 1.64326 881.109 1.79457 2.76384 0.00122076
  10 37.5 194 3.21107 1.65177 980.529 1.38414 2.39649 -0.565994
  11 42.5 192 2.42467 1.63475 917.504 1.01744 1.85636 -0.859179
  12 47.5 197 1.28588 1.67732 983.082 0.451597 1.03311 0.0291899
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 12 1832
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 5 0.595195 0.0425715 259.656 0.4526 0.385884 -0.385884
  3 2.5 187 2.28995 1.59217 957.997 0.915228 1.81106 0.567624
  4 7.5 179 3.15999 1.52406 853.153 1.46549 2.2685 -0.472852
  5 12.5 172 3.61656 1.46446 935.563 1.90882 2.51601 -1.07705
  6 17.5 166 3.72645 1.41337 806.108 2.19703 2.42697 0.405158
  7 22.5 169 3.7137 1.43892 848.113 1.88538 2.61688 -0.391852
  8 27.5 178 3.47399 1.51555 941.386 1.66921 2.56011 -0.0916889
  9 32.5 193 3.76506 1.64326 927.111 1.40701 2.96125 0.394175
  10 37.5 194 3.26141 1.65177 960.252 1.05693 2.62036 -0.553645
  11 42.5 192 2.52873 1.63475 933.071 0.702397 2.09903 -0.775813
  12 47.5 197 1.40489 1.67732 980.292 0.300927 1.17358 -0.333811
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 12 1832
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 5 0.614579 0.0425715 145.785 0.525349 0.31802 -0.31802
  3 2.5 187 2.36544 1.59217 945.57 0.91312 1.88225 0.340356
  4 7.5 179 3.20971 1.52406 881.98 1.35441 2.35066 -0.109458
  5 12.5 172 3.6383 1.46446 855.866 1.73662 2.63036 -0.869177
  6 17.5 166 3.749 1.41337 814.519 2.02268 2.60348 0.428188
  7 22.5 169 3.69636 1.43892 806.348 1.62786 2.71994 -0.549592
  8 27.5 178 3.48546 1.51555 863.437 1.46233 2.69003 -0.0618242
  9 32.5 193 3.76896 1.64326 990.43 1.21835 3.02921 0.0922908
  10 37.5 194 3.26844 1.65177 920.383 0.842825 2.68058 -0.228202
  11 42.5 192 2.60431 1.63475 849.111 0.566005 2.19651 -0.584894
  12 47.5 197 1.44429 1.67732 922.64 0.191915 1.22946 -0.302637
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 12 1832
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 5 0.63057 0.0425715 780.489 0.570749 0.245503 -0.245503
  3 2.5 187 2.45856 1.59217 928.705 0.860129 1.97494 0.49555
  4 7.5 179 3.29395 1.52406 875.311 1.28604 2.44662 -0.237095
  5 12.5 172 3.72059 1.46446 1016.97 1.64897 2.7634 -1.13908
  6 17.5 166 3.74681 1.41337 957.114 1.90213 2.64748 0.281124
  7 22.5 169 3.67954 1.43892 870.811 1.43031 2.79659 -0.438808
  8 27.5 178 3.43491 1.51555 865.686 1.29654 2.68339 -0.0741081
  9 32.5 193 3.76992 1.64326 926.916 1.05383 3.10163 0.0856468
  10 37.5 194 3.30942 1.65177 953.706 0.75828 2.73938 0.2749
  11 42.5 192 2.6998 1.63475 951.292 0.478287 2.30818 -0.465288
  12 47.5 197 1.52108 1.67732 876.565 0.169578 1.29919 -0.354983
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 12 1832
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 5 0.2952 0.0425715 861.801 0.265857 0.127345 -0.127345
